date,breadth,sma_cross,rsi5,wma_iwma,composite,eq_wt,next_ret,bil_ret,variant
2017-07-31,0.8709677419354839,1.0,0.7280135233529631,1.0,0.8997453163221117,0.8997453163221117,0.004238139387197748,0.0011380357684753761,B: 50d cont
2017-08-31,0.8709677419354839,1.0,0.6894510523599261,1.0,0.8901046985738525,0.8901046985738525,0.020257601249496604,0.000721820512477267,B: 50d cont
2017-09-29,0.7419354838709677,1.0,0.641896131835164,0.0,0.5959579039265329,0.5959579039265329,0.019234671716025442,0.0006997517576514678,B: 50d cont
2017-10-31,0.7096774193548387,1.0,0.6945623723468506,1.0,0.8510599479254224,0.8510599479254224,0.004261297051659119,0.0005470003967793513,B: 50d cont
2017-11-30,0.6129032258064516,1.0,0.4432254553849883,0.0,0.51403217029786,0.51403217029786,0.020064782641225465,0.000743758628905633,B: 50d cont
2017-12-29,0.8709677419354839,1.0,0.8418185606651596,1.0,0.9281965756501609,0.9281965756501609,0.05465450027193541,0.0013130445878672958,B: 50d cont
2018-01-31,0.967741935483871,1.0,0.42643277216920417,0.0,0.5985436769132688,0.5985436769132688,-0.05049359573047496,0.000831396749592983,B: 50d cont
2018-02-28,0.1935483870967742,1.0,0.369927539571152,1.0,0.6408689816669816,0.6408689816669816,-0.006597402192731083,0.0013016904279326003,B: 50d cont
2018-03-29,0.25806451612903225,1.0,0.5375296954801752,0.0,0.44889855290230185,0.44889855290230185,0.005634902427271271,0.0010383531473283636,B: 50d cont
2018-04-30,0.41935483870967744,1.0,0.4299638719305879,0.0,0.46232967766006633,0.46232967766006633,-0.018610972934015257,0.0014985357087087259,B: 50d cont
2018-05-31,0.16129032258064516,1.0,0.3217793061643687,0.0,0.37076740718625345,0.37076740718625345,-0.02186075788198305,0.0014869726525497118,B: 50d cont
2018-06-29,0.12903225806451613,0.0,0.46849879902471664,0.0,0.14938276427230818,0.25,0.02857138611580967,0.0013889637773825125,B: 50d cont
2018-07-31,0.7741935483870968,0.0,0.6777003112567825,1.0,0.6129734649109698,0.6129734649109698,-0.02304528627637259,0.001585445180863898,B: 50d cont
2018-08-31,0.3870967741935484,0.0,0.4349313317906429,1.0,0.4555070264960478,0.4555070264960478,0.004422838503301385,0.001399971012127521,B: 50d cont
2018-09-28,0.5161290322580645,0.0,0.4635997793928483,0.0,0.24493220291272821,0.25,-0.0796812037324941,0.001706221493938953,B: 50d cont
2018-10-31,0.0967741935483871,0.0,0.5235868931732768,0.0,0.15509027168041598,0.25,0.014354352227821554,0.0018594692513889122,B: 50d cont
2018-11-30,0.2903225806451613,0.0,0.5496383669853063,1.0,0.4599902369076169,0.4599902369076169,-0.048975459280952705,0.0018274145095587002,B: 50d cont
2018-12-31,0.1935483870967742,0.0,0.5580194408936158,1.0,0.4378919569975975,0.4378919569975975,0.07530971433018774,0.001749146364480536,B: 50d cont
2019-01-31,1.0,0.0,0.7730000388515309,1.0,0.6932500097128828,0.6932500097128828,0.01573571297562748,0.0018484976006734044,B: 50d cont
2019-02-28,0.9354838709677419,0.0,0.5126025136789106,1.0,0.6120215961616631,0.6120215961616631,0.009600613778538714,0.001749658313532132,B: 50d cont
2019-03-29,0.7096774193548387,1.0,0.5595546553907017,0.0,0.5673080186863851,0.5673080186863851,0.028095959782796998,0.0019251687312740184,B: 50d cont
2019-04-30,0.7419354838709677,1.0,0.6032842138943443,0.0,0.586304924441328,0.586304924441328,-0.056127694862272426,0.0021216723866521736,B: 50d cont
2019-05-31,0.2903225806451613,1.0,0.3428817827485905,0.0,0.4083010908484379,0.4083010908484379,0.05953735708807906,0.001815477498966045,B: 50d cont
2019-06-28,0.9032258064516129,1.0,0.6882775277450952,0.0,0.647875833549177,0.647875833549177,-0.017322470565051318,0.0018045595442239826,B: 50d cont
2019-07-31,0.41935483870967744,1.0,0.16390925374905818,0.0,0.3958160231146839,0.3958160231146839,-0.02393904541300107,0.0016946108862112563,B: 50d cont
2019-08-30,0.06451612903225806,1.0,0.6870411319711426,1.0,0.6878893152508502,0.6878893152508502,0.02675599768336312,0.0016183959715623253,B: 50d cont
2019-09-30,0.6451612903225806,1.0,0.4370361290346833,0.0,0.520549354839316,0.520549354839316,0.030835863813202247,0.0016071077805956957,B: 50d cont
2019-10-31,0.8387096774193549,1.0,0.6073702022155434,1.0,0.8615199699087246,0.8615199699087246,0.009901068079772202,0.0010830030416779657,B: 50d cont
2019-11-29,0.6451612903225806,1.0,0.4033439280101996,1.0,0.762126304583195,0.762126304583195,0.041406895544237265,0.0011155464954057948,B: 50d cont
2019-12-31,0.9354838709677419,1.0,0.6620571231720015,1.0,0.8993852485349358,0.8993852485349358,-0.034202053160656054,0.0012027682718174226,B: 50d cont
2020-01-31,0.16129032258064516,1.0,0.1800807709488406,0.0,0.33534277338237145,0.33534277338237145,-0.06661035277848804,0.0011816118484022642,B: 50d cont
2020-02-28,0.0,1.0,0.08496564153359629,0.0,0.27124141038339905,0.27124141038339905,-0.14972899433856957,0.002044736984134987,B: 50d cont
2020-03-31,0.0,0.0,0.5868105982602138,1.0,0.3967026495650534,0.3967026495650534,0.06374487988506439,-0.00019569869517255256,B: 50d cont
2020-04-30,0.5806451612903226,0.0,0.5962284019954369,1.0,0.5442183908214399,0.5442183908214399,0.045942480640142946,-0.00017559623035179328,B: 50d cont
2020-05-29,0.967741935483871,0.0,0.7563294549962652,1.0,0.681017847620034,0.681017847620034,0.044396849449296116,0.0,B: 50d cont
2020-06-30,1.0,0.0,0.47522824577807077,0.0,0.3688070614445177,0.3688070614445177,0.040240529990371865,0.00010952244887496576,B: 50d cont
2020-07-31,0.6451612903225806,0.0,0.3463124941373175,0.0,0.24786844611497455,0.25,0.04157394110505375,0.0,B: 50d cont
2020-08-31,0.6774193548387096,1.0,0.4493972312480079,1.0,0.7817041465216794,0.7817041465216794,-0.018356365736929003,-0.00021843424689171886,B: 50d cont
2020-09-30,0.2903225806451613,1.0,0.5136518393189461,1.0,0.7009936049910268,0.7009936049910268,-0.02043925493037957,0.0001089475897546599,B: 50d cont
2020-10-30,0.0967741935483871,1.0,0.19676062270681002,0.0,0.32338370406379924,0.32338370406379924,0.12608222780945222,-0.00010893572147030461,B: 50d cont
2020-11-30,1.0,1.0,0.4642858012088143,1.0,0.8660714503022036,0.8660714503022036,0.055436063742148045,3.286031432447878e-05,B: 50d cont
2020-12-31,1.0,1.0,0.6416392975449028,1.0,0.9104098243862258,0.9104098243862258,0.0028280250726382405,0.0,B: 50d cont
2021-01-29,0.3548387096774194,1.0,0.22807572170799945,0.0,0.3957286078463547,0.3957286078463547,0.019740679599657307,-0.00010962857720686614,B: 50d cont
2021-02-26,0.3870967741935484,1.0,0.1595898355942718,0.0,0.38667165244695506,0.38667165244695506,0.017330348487208935,-0.00010944498482290399,B: 50d cont
2021-03-31,0.6451612903225806,1.0,0.4817092619041661,1.0,0.7817176380566866,0.7817176380566866,0.025552645983651257,0.0,B: 50d cont
2021-04-30,0.7741935483870968,1.0,0.3739587355721551,1.0,0.7870380709898129,0.7870380709898129,0.030924338494245474,-0.0001091635140322289,B: 50d cont
2021-05-28,0.8709677419354839,1.0,0.7631588860164317,1.0,0.9085316569879789,0.9085316569879789,-0.0037825068000503226,-0.0002184486914600381,B: 50d cont
2021-06-30,0.41935483870967744,1.0,0.36641277170253034,1.0,0.6964419026030519,0.6964419026030519,-0.016518792356568168,-0.00010949283291616929,B: 50d cont
2021-07-30,0.41935483870967744,1.0,0.4834827355122266,1.0,0.725709393555476,0.725709393555476,0.014497979815520923,-0.0001089176656821067,B: 50d cont
2021-08-31,0.7741935483870968,1.0,0.6828634820306447,1.0,0.8642642576044354,0.8642642576044354,-0.0343326210874223,0.00010892953003227568,B: 50d cont
2021-09-30,0.16129032258064516,1.0,0.2617521463390118,0.0,0.35576061722991426,0.35576061722991426,0.029958549906353493,-0.0001089176656821067,B: 50d cont
2021-10-29,0.6451612903225806,1.0,0.4493486232742614,0.0,0.5236274783992105,0.5236274783992105,-0.041878361714310475,-0.00021922924283213074,B: 50d cont
2021-11-30,0.16129032258064516,1.0,0.13032623804903792,0.0,0.3229041401574208,0.3229041401574208,0.033449134890122245,0.0,B: 50d cont
2021-12-31,0.5483870967741935,0.0,0.6314602169762132,1.0,0.5449618284376017,0.5449618284376017,-0.025539622458089384,0.0,B: 50d cont
2022-01-31,0.5483870967741935,0.0,0.5514160815774203,0.0,0.27495079458790345,0.27495079458790345,-0.03340705664967192,-0.00021868996488139114,B: 50d cont
2022-02-28,0.3225806451612903,0.0,0.3549083577521891,0.0,0.16937225072836987,0.25,-0.0019095999140366082,0.000459603955335508,B: 50d cont
2022-03-31,0.5161290322580645,0.0,0.4828974247678069,1.0,0.49975661425646783,0.49975661425646783,-0.06696002619832764,-0.00010912292085363262,B: 50d cont
2022-04-29,0.0967741935483871,0.0,0.3380567639275574,0.0,0.10870773936898612,0.25,0.018043989298549556,0.0003281875200651374,B: 50d cont
2022-05-31,0.45161290322580644,0.0,0.7783936511488204,1.0,0.5575016385936566,0.5575016385936566,-0.07804088510029039,0.0007770003208391607,B: 50d cont
2022-06-30,0.06451612903225806,0.0,0.3998732919610004,1.0,0.3660973552483146,0.3660973552483146,0.03377778309208912,0.0003604805390371446,B: 50d cont
2022-07-29,0.5161290322580645,0.0,0.7651343765995011,1.0,0.5703158522143914,0.5703158522143914,-0.048366352554612635,0.0019371168098052394,B: 50d cont
2022-08-31,0.3548387096774194,0.0,0.20289278805889224,0.0,0.1394328744340779,0.25,-0.09622758681592491,0.002067595628004959,B: 50d cont
2022-09-30,0.03225806451612903,0.0,0.2588948123916896,0.0,0.07278821922695466,0.25,0.03524092072127183,0.0015853644172227899,B: 50d cont
2022-10-31,0.5483870967741935,0.0,0.5458487890941239,1.0,0.5235589714670794,0.5235589714670794,0.13375197841516706,0.0031521032698698104,B: 50d cont
2022-11-30,0.967741935483871,0.0,0.782368291722339,1.0,0.6875275568015525,0.6875275568015525,-0.023095930911740004,0.0036256586414582515,B: 50d cont
2022-12-30,0.8064516129032258,0.0,0.44804928521839216,1.0,0.5636252245304045,0.5636252245304045,0.08923087355145354,0.00284259161025191,B: 50d cont
2023-01-31,0.9354838709677419,1.0,0.5607463094841677,0.0,0.6240575451129774,0.6240575451129774,-0.045197814733555,0.003457735108419513,B: 50d cont
2023-02-28,0.5161290322580645,1.0,0.2970624086919082,0.0,0.4532978602374932,0.4532978602374932,0.030642438305638287,0.003990992901821144,B: 50d cont
2023-03-31,0.6451612903225806,1.0,0.8502321893939583,1.0,0.8738483699291347,0.8738483699291347,0.018659019838512814,0.003630387128545909,B: 50d cont
2023-04-28,0.8387096774193549,1.0,0.6057248919881038,0.0,0.6111086423518647,0.6111086423518647,-0.037439635115500525,0.0037515871605200424,B: 50d cont
2023-05-31,0.22580645161290322,1.0,0.2552410047194553,0.0,0.37026186408308964,0.37026186408308964,0.04613121900323325,0.004606369567875079,B: 50d cont
2023-06-30,0.6129032258064516,1.0,0.6088311718758886,1.0,0.805433599420585,0.805433599420585,0.03921167111591828,0.003859969695404697,B: 50d cont
2023-07-31,1.0,1.0,0.7468508534394168,1.0,0.9367127133598542,0.9367127133598542,-0.047507308847591134,0.00496685829918464,B: 50d cont
2023-08-31,0.25806451612903225,1.0,0.5614538672961332,1.0,0.7048795958562913,0.7048795958562913,-0.035098632547818864,0.00399111392947149,B: 50d cont
2023-09-29,0.03225806451612903,1.0,0.3033352298744748,0.0,0.3338983235976509,0.3338983235976509,-0.031269816379740134,0.004309323102291263,B: 50d cont
2023-10-31,0.0,0.0,0.46883399404721016,0.0,0.11720849851180254,0.25,0.08278437105010172,0.00468231727045465,B: 50d cont
2023-11-30,0.8387096774193549,0.0,0.7087399321214518,1.0,0.6368624023852016,0.6368624023852016,0.04978101319012129,0.004274992228504582,B: 50d cont
2023-12-29,0.9354838709677419,1.0,0.7810721483399666,1.0,0.9291390048269271,0.9291390048269271,-0.017241403903832553,0.004267280993232481,B: 50d cont
2024-01-31,0.6774193548387096,1.0,0.4958398940566079,1.0,0.7933148122238294,0.7933148122238294,0.030302993650321408,0.004443332669871403,B: 50d cont
2024-02-29,0.6774193548387096,1.0,0.553407195544601,1.0,0.8077066375958276,0.8077066375958276,0.03308827471401243,0.004101954852963052,B: 50d cont
2024-03-28,0.8709677419354839,1.0,0.6745779131098902,1.0,0.8863864137613435,0.8863864137613435,-0.02434910751075514,0.004321779737358256,B: 50d cont
2024-04-30,0.3870967741935484,1.0,0.46221879383748865,1.0,0.7123288920077593,0.7123288920077593,0.039546975004936424,0.004573018548527097,B: 50d cont
2024-05-31,0.7419354838709677,1.0,0.46513003071867276,0.0,0.5517663786474101,0.5517663786474101,-0.004470756113060914,0.003992931580336867,B: 50d cont
2024-06-28,0.3870967741935484,1.0,0.4984814955936209,0.0,0.47139456744679237,0.47139456744679237,0.021644971300351923,0.004508185734526604,B: 50d cont
2024-07-31,0.6129032258064516,1.0,0.6360782988671587,1.0,0.8122453811684025,0.8122453811684025,0.027081803482430944,0.004617016895472004,B: 50d cont
2024-08-30,0.9354838709677419,1.0,0.6698116647717844,1.0,0.9013238839348816,0.9013238839348816,0.026367789625708626,0.004222202853911616,B: 50d cont
2024-09-30,0.8709677419354839,1.0,0.633761980473332,1.0,0.876182430602204,0.876182430602204,-0.046487247774912754,0.003948147672365954,B: 50d cont
2024-10-31,0.12903225806451613,1.0,0.2179486508725961,0.0,0.336745227234278,0.336745227234278,-0.00274929851935779,0.003707023693368061,B: 50d cont
2024-11-29,0.1935483870967742,1.0,0.7067809731048702,1.0,0.7250823400504112,0.7250823400504112,-0.027643216951110827,0.004031356713610101,B: 50d cont
2024-12-31,0.16129032258064516,1.0,0.27099015669910914,1.0,0.6080701198199385,0.6080701198199385,0.034892628589473285,0.0035000257965673853,B: 50d cont
2025-01-31,0.5806451612903226,0.0,0.5643151271716493,1.0,0.536240072115493,0.536240072115493,0.024824028800171982,0.0032377236854890246,B: 50d cont
2025-02-28,0.6451612903225806,1.0,0.38355384539385345,0.0,0.5071787839291085,0.5071787839291085,0.0023499784098663934,0.0032702702467946043,B: 50d cont
2025-03-31,0.4838709677419355,1.0,0.2397224064359537,0.0,0.4308983435444723,0.4308983435444723,0.027051406794778243,0.00340228874001558,B: 50d cont
2025-04-30,0.8709677419354839,1.0,0.8275077705878272,1.0,0.9246188781308278,0.9246188781308278,0.04442487929604666,0.0036319136258065043,B: 50d cont
2025-05-30,0.9032258064516129,1.0,0.543182978939111,1.0,0.861602196347681,0.861602196347681,0.039110466690933654,0.003347102709620353,B: 50d cont
2025-06-30,0.9354838709677419,1.0,0.752164428694061,1.0,0.9219120749154508,0.9219120749154508,-0.011158522917855573,0.0035656559148040667,B: 50d cont
2025-07-31,0.4838709677419355,1.0,0.23756141598606745,0.0,0.43035809593200075,0.43035809593200075,0.04115507164168419,0.00370778042207931,B: 50d cont
2025-08-29,0.6451612903225806,1.0,0.45104854558020946,0.0,0.5240524589756975,0.5240524589756975,0.03618107013575056,0.003302532999598151,B: 50d cont
