Date,SPY,CRDBX,SGOV,DBMF,KMLM,ARB,CAOS
2023-04-14,-0.2443%,+0.0000%,+0.0100%,+0.5693%,-0.3678%,+0.0195%,-0.0667%
2023-04-17,+0.3588%,+0.0000%,+0.0000%,+0.5660%,-0.3691%,+0.4953%,+0.2041%
2023-04-18,+0.0652%,+0.0727%,+0.0199%,+0.1126%,+0.1819%,-0.2717%,+0.0500%
2023-04-19,-0.0169%,+0.0000%,+0.0299%,-0.1499%,+1.1633%,+0.2452%,-0.0038%
2023-04-20,-0.5457%,+0.0000%,+0.0398%,-0.1501%,+0.6314%,-0.0388%,-0.3213%
2023-04-21,+0.0777%,+0.0000%,+0.0099%,+0.0000%,+0.0330%,+0.0000%,+0.1528%
2023-04-24,+0.1043%,+0.0000%,+0.0100%,+0.1504%,+0.4622%,-0.0388%,+0.0231%
2023-04-25,-1.5874%,+0.0727%,+0.0000%,-1.2012%,-0.1315%,-0.3885%,-0.8975%
2023-04-26,-0.4236%,+0.0000%,+0.0000%,+0.1900%,+1.3491%,-0.0117%,-0.2626%
2023-04-27,+1.9908%,+0.0000%,+0.0298%,+0.7395%,+0.4870%,+0.0897%,+1.2387%
2023-05-01,-0.1010%,-0.1433%,+0.0119%,+0.9789%,+0.0000%,+0.0742%,+0.0727%
2023-05-05,+1.8513%,+0.0000%,+0.0100%,+0.5295%,-0.1284%,+0.1428%,+1.2521%
2023-05-08,+0.0267%,+0.0734%,+0.0100%,+0.0752%,-0.4499%,-0.3962%,+0.0563%
2023-05-09,-0.4385%,+0.0000%,+0.0100%,+0.4511%,-0.1937%,+0.2625%,-0.1955%
2023-05-10,+0.4672%,+0.0000%,+0.0199%,-0.8608%,+0.0323%,-0.1904%,+0.2420%
2023-05-11,-0.1744%,+0.0000%,+0.0598%,-0.2265%,-0.2910%,-0.4293%,-0.0575%
2023-05-12,-0.1310%,+0.0000%,+0.0199%,+0.5675%,+0.4864%,-0.0080%,-0.0460%
2023-05-15,+0.3450%,+0.0734%,-0.0100%,+0.6396%,-0.9035%,+0.1078%,+0.1599%
2023-05-16,-0.6683%,+0.0000%,+0.0299%,-0.5234%,+0.1954%,-0.9412%,-0.3102%
2023-05-17,+1.2139%,+0.0000%,+0.0100%,+0.3382%,+0.0000%,-0.0765%,+0.6224%
2023-05-18,+0.9633%,+0.0000%,+0.0299%,+0.0374%,-0.1950%,-0.0403%,+0.4544%
2023-05-19,-0.1455%,+0.0000%,+0.0100%,+0.2246%,+0.8466%,-0.1773%,-0.0355%
2023-05-22,+0.0406%,+0.0733%,+0.0100%,+0.2241%,+0.1937%,-0.2261%,+0.0558%
