etf,description,rank_recent,score_recent,on_days_recent,avg_recent_pct,ann_recent_pct,beta_recent,ratio_recent,win_recent_pct,worst_recent_pct,best_recent_pct,rank_full,score_full,on_days_full,avg_full_pct,ann_full_pct,beta_full,ratio_full,win_full_pct,worst_full_pct,best_full_pct,rank_gap,robustness_flag
SPYV,SPDR Value,26,43.731959510187224,378,0.09577599426869965,24.135550555712314,0.7111097160017684,0.8196064805711631,55.29100529100529,-2.88778408498529,7.470624886472366,15,62.842016989554395,686,0.11184104625043248,28.183943655108983,0.7552499168542124,0.8127683057128723,55.539358600583085,-2.9605250981045494,7.470624886472366,11,moderate
IWD,Russell 1000 Value,27,42.58129234401146,378,0.09765168642553118,24.60822497923386,0.7161412200227713,0.7959114930884246,55.026455026455025,-2.9541760787293203,7.1394244577468235,13,63.88601726065364,686,0.11397827261996564,28.72252470023134,0.7736920627822553,0.806444801797738,54.81049562682215,-2.9541760787293203,7.1394244577468235,14,unstable
RSP,S&P 500 Equal Weight,28,40.82015383462303,378,0.0905330567164609,22.81433029254815,0.7874967594039816,0.8026846568590189,56.08465608465608,-3.366430997403347,7.997130433567956,7,68.80258480845411,686,0.11806151445841553,29.75150164352071,0.8598614054786439,0.8639589635576677,56.12244897959183,-3.5387813870221274,7.997130433567956,21,unstable
DGRW,US Dividend Growth,29,40.613842002815346,378,0.09361019102509958,23.589768138325095,0.7762868267380919,0.8386302259501645,54.4973544973545,-2.798387966469984,7.786199700903751,33,37.53466893781711,686,0.09525433773707845,24.004093109743767,0.7880950775146712,0.813122987762178,54.08163265306123,-3.023534701050956,7.786199700903751,4,stable
VYM,US Dividend,30,38.124338240693795,378,0.09636647256276769,24.284351085817455,0.6791770518935426,0.7400435713797417,54.4973544973545,-2.861103788310293,6.882733585900547,28,45.82379031322274,686,0.10839794084974735,27.316281094136336,0.7090948627728836,0.7512865556584243,54.518950437317784,-2.869107077111366,6.882733585900547,2,stable
DGRO,Dividend Growth,31,35.54081485238048,378,0.09565168042455284,24.104223466987314,0.6469117015412829,0.7033495805604054,53.96825396825397,-2.6481096203220367,6.682358828571577,32,38.854104466449705,686,0.10337470750791551,26.05042629199471,0.7294314594411402,0.7537707335214267,54.66472303206997,-3.051528851105334,6.682358828571577,1,stable
SCHV,Schwab Value,32,34.71470521806357,378,0.09096939962196841,22.92428870473604,0.680889993235852,0.7586298268676614,53.96825396825397,-2.7424504699612995,6.836520859915418,30,43.33709441799405,686,0.10399098503849809,26.20572822970152,0.7505641626991085,0.787013266324857,54.66472303206997,-2.938840919854091,6.836520859915418,2,stable
HDV,High Dividend,33,33.462457701628445,378,0.09021620557943025,22.73448380601642,0.3548949710337401,0.39957754900879516,55.29100529100529,-2.212124112908642,3.9664194051366675,35,34.39299151697254,686,0.09694406136880365,24.42990346493852,0.49447504333535564,0.48736239549876104,55.97667638483965,-3.061867695637621,4.3602511009074085,2,stable
VPU,US Utilities,34,30.889746093077346,378,0.05658377408146515,14.259111068529219,0.36372507185633896,0.46235064972635154,55.55555555555556,-2.607398125465177,3.8709300702110427,37,15.833583772679797,686,0.04757842136465641,11.989762183893415,0.4539849343230221,0.43678830532510665,53.64431486880466,-3.891289452085589,3.8709300702110427,3,stable
SPLV,S&P 500 Low Volatility,35,30.295084088361328,378,0.08682669893635486,21.880328131961427,0.3732099816752526,0.4107564761592664,54.761904761904766,-2.1984463230244944,4.403346720888779,36,27.258102660807786,686,0.07476327929442982,18.840346382196312,0.49003118859485234,0.5055952129579699,53.64431486880466,-2.9291769680822033,4.403346720888779,1,stable
DVY,US Dividend,36,24.73411179502627,378,0.0805989584721517,20.31093753498223,0.6048536113592038,0.6221535145392136,53.70370370370371,-2.8833349403501907,6.243135269219913,22,55.00340279143001,686,0.11635782875697696,29.322172846758193,0.6847209450302931,0.6826027944152587,53.498542274052475,-3.13092907875151,6.509020495401563,14,unstable
XLU,Utilities Sector,37,23.88289447180108,378,0.059970923873351,15.112672816084451,0.358749960243847,0.44272439946968334,53.96825396825397,-2.640796351706254,3.9403543947360564,38,13.128168728981818,686,0.04968464571981681,12.520530721393836,0.4429095198735886,0.4231885577027268,52.47813411078717,-4.009187286899896,3.9403543947360564,1,stable
SCHD,US Dividend Equity,38,23.23197696790747,378,0.08911964596555723,22.45815078332042,0.5769018083440155,0.6389332871072975,52.38095238095239,-3.478938912572427,6.373360048762877,26,49.31240089945329,686,0.11259399835275169,28.373687584893425,0.6797548717600975,0.711451316738985,53.498542274052475,-3.478938912572427,6.373360048762877,12,moderate
